,id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano,mes,dia
146115,1413164627,93337c6c-3c08-3c55-a135-e84b52fbb1d9,-11.172,-49.591,2020-01-18 17:30:00,Brasil,TOCANTINS,DUERÉ,Cerrado,2020,1,18
146122,1413164544,06a89a70-bb1d-3ecf-8edd-ef7f5e29a3cd,-8.888,-35.401,2020-01-18 15:55:00,Brasil,ALAGOAS,JACUÍPE,Mata Atlântica,2020,1,18
146128,1413164533,b79987cf-7d77-36f7-a36f-7cb9b3295017,-6.509,-41.064,2020-01-18 15:55:00,Brasil,PIAUÍ,PIMENTEIRAS,Caatinga,2020,1,18
146130,1413164531,15a9bef6-e205-3f16-a9f0-b4944ea1d983,-3.317,-42.236,2020-01-18 15:55:00,Brasil,MARANHÃO,MAGALHÃES DE ALMEIDA,Cerrado,2020,1,18
146133,1413164528,deff50ff-8849-341b-9153-3a0f95c9f7c3,-7.299,-37.712,2020-01-18 15:55:00,Brasil,PARAÍBA,OLHO D'ÁGUA,Caatinga,2020,1,18
146173,1413164628,67c6910a-e45d-32fa-b67a-b27a92b27478,-13.849,-50.623,2020-01-18 17:30:00,Brasil,GOIÁS,NOVA CRIXÁS,Cerrado,2020,1,18
146174,1413547053,2f8eb507-e22a-30d4-ad1e-93c09cb63b95,4.843,-60.51,2020-01-22 17:15:00,Brasil,RORAIMA,UIRAMUTÃ,Amazônia,2020,1,22
146182,1413546977,554ba698-3774-3575-bcb5-94e7f92da421,-13.06,-58.881,2020-01-22 17:10:00,Brasil,MATO GROSSO,SAPEZAL,Cerrado,2020,1,22
146192,1413546153,b9cb5d1b-6a26-3b20-96ce-4f71e1df0012,-18.883,-50.805,2020-01-22 17:05:00,Brasil,GOIÁS,PARANAIGUARA,Mata Atlântica,2020,1,22
146193,1413546152,7b826cd8-2222-32ac-a787-eb8ff4523496,-21.191,-48.155,2020-01-22 17:05:00,Brasil,SÃO PAULO,BARRINHA,Cerrado,2020,1,22
146196,1413546987,28582ab2-a666-3b79-88ae-31200f89f413,-1.703,-53.771,2020-01-22 17:10:00,Brasil,PARÁ,PRAINHA,Amazônia,2020,1,22
146198,1413382739,a85a3ce1-8931-3942-81c5-1ab291de31df,-5.02,-36.9,2020-01-20 15:45:00,Brasil,RIO GRANDE DO NORTE,PORTO DO MANGUE,Caatinga,2020,1,20
146199,1413382738,865ae445-c943-35e9-8aac-a4824450d8e9,-10.601,-36.79,2020-01-20 15:40:00,Brasil,SERGIPE,PIRAMBU,Mata Atlântica,2020,1,20
146200,1413382737,1ea37e19-cd4f-3f3f-b222-1fe70d51d0c9,-14.157,-39.047,2020-01-20 15:40:00,Brasil,BAHIA,MARAÚ,Mata Atlântica,2020,1,20
146201,1413595369,6182dd48-e9d5-38e1-96b4-ee5959b78175,-19.714,-57.158,2020-01-23 17:50:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2020,1,23
146203,1413383305,3fb72cef-a777-3ec2-95a5-c434ac2a69a4,-21.707,-54.558,2020-01-20 17:15:00,Brasil,MATO GROSSO DO SUL,RIO BRILHANTE,Cerrado,2020,1,20
146205,1413383303,4f520762-91f7-3427-a03c-e9d7357d0b4a,-22.817,-50.707,2020-01-20 17:15:00,Brasil,SÃO PAULO,FLORÍNEA,Mata Atlântica,2020,1,20
146209,1413595393,0bb91e0b-e1a3-3774-9910-030a5b66ea6f,-17.715,-57.235,2020-01-23 17:50:00,Brasil,MATO GROSSO,POCONÉ,Pantanal,2020,1,23
146221,1413383568,fd936c55-bf4c-30d8-aba6-3933c2e57eb7,2.878,-60.943,2020-01-20 17:25:00,Brasil,RORAIMA,BOA VISTA,Amazônia,2020,1,20
146258,1413383605,6d76e478-0b42-3b99-8739-22df9b6cedc7,-1.278,-53.392,2020-01-20 17:25:00,Brasil,PARÁ,ALMEIRIM,Amazônia,2020,1,20
146280,1413595952,d41bee83-9935-3586-b91c-4badeacde71e,1.716,-60.68,2020-01-23 17:55:00,Brasil,RORAIMA,CARACARAÍ,Amazônia,2020,1,23
146291,1413383313,ad824c01-cca5-393e-ad05-c3d4abbc246e,-27.701,-52.43,2020-01-20 17:15:00,Brasil,RIO GRANDE DO SUL,PAULO BENTO,Mata Atlântica,2020,1,20
146294,1413383499,48e8aa0a-5c34-3717-983e-658156764f24,-9.572,-64.703,2020-01-20 17:20:00,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,2020,1,20
146295,1413383498,84600a27-8dcd-3597-8a46-ba4a43db8402,-9.205,-46.291,2020-01-20 17:20:00,Brasil,MARANHÃO,ALTO PARNAÍBA,Cerrado,2020,1,20
146328,1413595397,4d476440-d620-357e-943c-db1caa06f6e2,-8.385,-62.707,2020-01-23 17:50:00,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,2020,1,23
146349,1413466966,dc7738e0-c7c0-3ab1-a40e-6a6978ec8232,-3.666,-42.076,2020-01-21 16:25:00,Brasil,PIAUÍ,JOAQUIM PIRES,Caatinga,2020,1,21
146350,1413466965,d9d931df-0e34-331b-933d-57e8a3b35208,-4.743,-42.979,2020-01-21 16:25:00,Brasil,MARANHÃO,CAXIAS,Cerrado,2020,1,21
146353,1413466962,116f3643-b63c-37f5-97e9-f9d453a0a986,-5.733,-39.682,2020-01-21 16:25:00,Brasil,CEARÁ,MOMBAÇA,Caatinga,2020,1,21
146355,1413466960,c6d5b5ed-2df5-3fc6-9f80-9bdb18c21522,-6.236,-35.091,2020-01-21 16:25:00,Brasil,RIO GRANDE DO NORTE,TIBAU DO SUL,Mata Atlântica,2020,1,21
146357,1413466958,300a9373-6507-38b4-8305-65c463f91756,-8.261,-49.473,2020-01-21 16:25:00,Brasil,PARÁ,CONCEIÇÃO DO ARAGUAIA,Amazônia,2020,1,21
146361,1413466954,99531e15-757d-39cd-9791-e9df4da68370,-8.941,-48.195,2020-01-21 16:25:00,Brasil,TOCANTINS,TUPIRAMA,Cerrado,2020,1,21
146363,1413466951,2095e616-8d96-30ec-9280-d0df01d65ade,-6.584,-35.383,2020-01-21 16:25:00,Brasil,PARAÍBA,JACARAÚ,Caatinga,2020,1,21
146367,1413466946,744a15db-168c-338c-bf75-7da875d2d20e,-9.019,-35.277,2020-01-21 16:25:00,Brasil,ALAGOAS,MARAGOGI,Mata Atlântica,2020,1,21
146377,1413466969,b6ff0320-85bd-300b-a83c-a5ecde430f04,-10.232,-40.028,2020-01-21 16:25:00,Brasil,BAHIA,JAGUARARI,Caatinga,2020,1,21
146379,1412961068,b32e1db7-3cd9-30fa-86c1-dd21468db65f,-6.884,-39.755,2020-01-14 16:20:00,Brasil,CEARÁ,ASSARÉ,Caatinga,2020,1,14
146381,1412961066,1bc95dba-6d43-3bb4-8f69-401bb8475e8f,-6.921,-38.625,2020-01-14 16:20:00,Brasil,PARAÍBA,CAJAZEIRAS,Caatinga,2020,1,14
146391,1412961056,80f67e22-4d17-3d50-b0a9-27b7539c018a,-5.287,-43.266,2020-01-14 16:20:00,Brasil,MARANHÃO,MATÕES,Cerrado,2020,1,14
146414,1412961071,ca4dd87b-bb86-32b1-acaa-35980773454a,-10.732,-37.102,2020-01-14 16:20:00,Brasil,SERGIPE,MARUIM,Mata Atlântica,2020,1,14
146426,1413468371,df2c6537-5c76-3465-919b-feaacabc6c65,-17.604,-57.255,2020-01-21 18:00:00,Brasil,MATO GROSSO,POCONÉ,Pantanal,2020,1,21
146435,1412961126,c3e64990-307f-3175-876e-3ef80efaa3e8,-12.287,-48.336,2020-01-14 16:20:00,Brasil,TOCANTINS,SÃO SALVADOR DO TOCANTINS,Cerrado,2020,1,14
146437,1412961124,ae4401e8-88ff-3230-a236-754d58cca816,-0.842,-47.207,2020-01-14 16:20:00,Brasil,PARÁ,SÃO JOÃO DE PIRABAS,Amazônia,2020,1,14
146470,1413123263,0fb83d34-1e79-36cc-a47b-c552b60837b3,-17.131,-58.056,2020-01-16 17:45:00,Brasil,MATO GROSSO,CÁCERES,Pantanal,2020,1,16
146474,1413123259,088fe81c-c044-3964-91bf-e26da6a79c9f,-17.913,-57.282,2020-01-16 17:45:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2020,1,16
146475,1413123258,9d4704b6-d99b-3868-96f1-3b02666985ea,-3.161,-64.963,2020-01-16 17:45:00,Brasil,AMAZONAS,ALVARÃES,Amazônia,2020,1,16
146477,1413123235,5028ab29-9ab0-3715-9943-cb54938bdf18,-9.357,-62.209,2020-01-16 17:45:00,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,2020,1,16
146484,1413468391,ebd017e0-321f-399e-a4fd-4ce4ef3aa763,2.989,-61.3,2020-01-21 18:05:00,Brasil,RORAIMA,ALTO ALEGRE,Amazônia,2020,1,21
146487,1413468384,e3a132a7-bd23-333b-b103-a6978d04a21a,-11.761,-64.915,2020-01-21 18:05:00,Brasil,RONDÔNIA,GUAJARÁ-MIRIM,Amazônia,2020,1,21
146490,1413468378,ed693095-d7b3-38d2-9b8c-20ee14007905,-19.275,-56.867,2020-01-21 18:00:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2020,1,21
146511,1413122726,5dd2fbe5-338b-36be-9ff1-f4de12dd5618,-8.918,-35.632,2020-01-16 16:05:00,Brasil,ALAGOAS,NOVO LINO,Mata Atlântica,2020,1,16
146514,1413122723,9ff99389-886c-35d5-9c9b-bbd55a7464a7,-8.802,-35.266,2020-01-16 16:05:00,Brasil,PERNAMBUCO,BARREIROS,Mata Atlântica,2020,1,16
146515,1413122765,8d4fa45f-ac3d-3df7-96f1-c608e2be3f78,-3.4,-43.546,2020-01-16 16:10:00,Brasil,MARANHÃO,SÃO BENEDITO DO RIO PRETO,Cerrado,2020,1,16
146516,1413122764,00760482-50f3-3e7d-9339-af4066711b55,-3.876,-39.456,2020-01-16 16:10:00,Brasil,CEARÁ,TEJUÇUOCA,Caatinga,2020,1,16
146519,1413122760,ae8daa53-5cf2-3f91-87f7-ffbf341117d1,-5.0,-37.028,2020-01-16 16:10:00,Brasil,RIO GRANDE DO NORTE,AREIA BRANCA,Caatinga,2020,1,16
146521,1413122758,65d3396a-4c35-3fa6-b073-d3f0b1a3590e,-5.201,-41.828,2020-01-16 16:10:00,Brasil,PIAUÍ,NOVO SANTO ANTÔNIO,Caatinga,2020,1,16
146553,1413122734,72edac8a-f256-3ba4-98b6-c2c411b1770a,-7.385,-37.559,2020-01-16 16:05:00,Brasil,PARAÍBA,IMACULADA,Caatinga,2020,1,16
146596,1413123337,42b023d4-5f5a-3d48-bc0e-55ac1c5b162f,1.424,-55.872,2020-01-16 17:50:00,Brasil,PARÁ,ORIXIMINÁ,Amazônia,2020,1,16
