,id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano,mes,dia
5426,856881396,c6d913b0-60ad-3494-a1ea-efcb3265fdbb,-27.448,-50.264,2019-02-02 17:15:00,Brasil,SANTA CATARINA,PALMEIRA,Mata Atlântica,2019,2,2
5428,856881585,bb4feed6-f381-3591-b277-62c3c402f8c9,-24.117,-52.905,2019-02-02 17:15:00,Brasil,PARANÁ,GOIOERÊ,Mata Atlântica,2019,2,2
5431,854617327,b4eb5268-a6e8-35af-839a-3ab9c8f579e0,-26.229,-50.082,2019-02-01 16:35:00,Brasil,SANTA CATARINA,MAFRA,Mata Atlântica,2019,2,1
5441,831080947,c44a3bfc-7502-30a8-b853-cfb0f6ae0e07,-10.018,-36.134,2019-01-20 16:15:00,Brasil,ALAGOAS,CORURIPE,Mata Atlântica,2019,1,20
5444,831080940,c29aa72b-2197-3a95-a890-366762117a74,-11.125,-37.192,2019-01-20 16:10:00,Brasil,SERGIPE,ITAPORANGA D'AJUDA,Mata Atlântica,2019,1,20
5465,837621179,c596beeb-2069-3287-ab54-6b82d5172a82,-7.03,-35.691,2019-01-24 15:50:00,Brasil,PARAÍBA,ALAGOA GRANDE,Caatinga,2019,1,24
5476,833412083,198c6cf3-9867-3492-9799-5d2bddcf40ce,-11.205,-47.903,2019-01-25 16:30:00,Brasil,TOCANTINS,SILVANÓPOLIS,Cerrado,2019,1,25
5489,824966437,62ab68a3-9cb3-3960-acdb-49c31edf8ecd,-10.889,-49.948,2019-01-17 17:20:00,Brasil,TOCANTINS,LAGOA DA CONFUSÃO,Cerrado,2019,1,17
5511,831193832,e3824ea4-a68d-3aef-8534-c1758cb674b1,-13.129,-55.008,2019-01-20 17:50:00,Brasil,MATO GROSSO,NOVA UBIRATÃ,Cerrado,2019,1,20
5516,848014224,f947e2ff-011e-38d3-b13e-4431a0dc0a6d,-28.459,-55.609,2019-01-29 17:40:00,Brasil,RIO GRANDE DO SUL,SÃO BORJA,Pampa,2019,1,29
5526,833412034,0eecd96e-a4e5-3894-b985-b01f4a1bd646,-14.053,-45.692,2019-01-25 16:30:00,Brasil,BAHIA,JABORANDI,Cerrado,2019,1,25
5530,833412021,4c5db0af-7d11-3a59-98b0-385ab271f4a2,-5.553,-42.848,2019-01-25 16:35:00,Brasil,PIAUÍ,CURRALINHOS,Caatinga,2019,1,25
5531,833412013,e3eafe31-7aee-3f6a-8dd7-e6056dce8df7,-8.471,-40.402,2019-01-25 16:30:00,Brasil,PERNAMBUCO,DORMENTES,Caatinga,2019,1,25
